customerID,evadiu,genero,idoso,tem_parceiro,tem_dependentes,tempo_meses,servico_telefone,multiplas_linhas,tipo_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_online,forma_pagamento,conta_mensal,conta_total,conta_diaria,tem_internet,qtd_servicos
0018-NYROU,0,feminino,0,1,0,5,1,0,fibra óptica,0,0,0,0,0,0,mensal,1,débito online,68.95,351.5,2.3,1,2
0019-EFAEP,0,feminino,0,0,0,72,1,1,fibra óptica,1,1,1,0,1,0,bienal,1,transferência (automática),101.3,7261.25,3.38,1,7
0019-GFNTW,0,feminino,0,0,0,56,0,0,dsl,1,1,1,1,0,0,bienal,0,transferência (automática),45.05,2560.1,1.5,1,5
0020-INWCK,0,feminino,0,1,1,71,1,1,fibra óptica,0,1,1,0,0,1,bienal,1,cartão (automático),95.75,6849.4,3.19,1,6
0020-JDNXP,0,feminino,0,1,1,34,0,0,dsl,1,0,1,1,1,1,anual,0,boleto,61.25,1993.2,2.04,1,6
0021-IKXGC,0,feminino,1,0,0,1,1,1,fibra óptica,0,0,0,0,0,0,mensal,1,débito online,72.1,72.1,2.4,1,3
0022-TCJCI,1,masculino,1,0,0,45,1,0,dsl,1,0,1,0,0,1,anual,0,cartão (automático),62.7,2791.5,2.09,1,5
0023-HGHWL,1,masculino,1,0,0,1,0,0,dsl,0,0,0,0,0,0,mensal,1,débito online,25.1,25.1,0.84,1,1
0023-UYUPN,0,feminino,1,1,0,50,1,1,não,0,0,0,0,0,0,anual,0,débito online,25.2,1306.3,0.84,1,3
0023-XUOPT,1,feminino,0,1,0,13,1,1,fibra óptica,0,1,1,0,1,0,mensal,0,débito online,94.1,1215.6,3.14,1,6
0027-KWYKW,0,feminino,0,1,1,23,1,1,fibra óptica,0,0,0,0,1,0,mensal,1,débito online,83.75,1849.95,2.79,1,4
0030-FNXPP,0,feminino,0,0,0,3,1,0,não,0,0,0,0,0,0,mensal,0,boleto,19.85,57.2,0.66,1,2
0031-PVLZI,1,feminino,0,1,1,4,1,0,não,0,0,0,0,0,0,mensal,0,boleto,20.35,76.35,0.68,1,2
0032-PGELS,1,feminino,0,1,1,1,0,0,dsl,1,0,0,0,0,0,mensal,0,transferência (automática),30.5,30.5,1.02,1,2
0036-IHMOT,0,feminino,0,1,1,55,1,0,fibra óptica,0,1,1,1,1,1,anual,1,transferência (automática),103.7,5656.75,3.46,1,7
0040-HALCW,0,masculino,0,1,1,54,1,0,não,0,0,0,0,0,0,bienal,0,cartão (automático),20.4,1090.6,0.68,1,2
0042-JVWOJ,0,masculino,0,0,0,26,1,0,não,0,0,0,0,0,0,anual,1,transferência (automática),19.6,471.85,0.65,1,2
0042-RLHYP,0,feminino,0,1,1,69,1,0,não,0,0,0,0,0,0,bienal,0,transferência (automática),19.7,1396.9,0.66,1,2
0048-LUMLS,0,masculino,0,1,1,37,1,0,fibra óptica,0,0,0,0,1,1,anual,0,cartão (automático),91.2,3247.55,3.04,1,4
0048-PIHNL,0,feminino,0,1,0,49,1,0,não,0,0,0,0,0,0,anual,0,transferência (automática),20.45,900.9,0.68,1,2
0052-DCKON,0,masculino,0,1,0,66,1,1,fibra óptica,1,1,1,1,1,1,anual,0,transferência (automática),115.8,7942.15,3.86,1,9
0052-YNYOT,0,feminino,0,0,0,67,1,0,não,0,0,0,0,0,0,anual,0,débito online,20.55,1343.4,0.68,1,2
0056-EPFBG,0,masculino,0,1,1,20,0,0,dsl,1,0,1,1,0,0,bienal,1,cartão (automático),39.4,825.4,1.31,1,4
0057-QBUQH,0,feminino,0,0,1,43,1,1,não,0,0,0,0,0,0,bienal,1,débito online,25.1,1070.15,0.84,1,3
0058-EVZWM,0,feminino,0,1,0,55,1,1,fibra óptica,1,0,0,0,1,0,mensal,1,transferência (automática),89.8,4959.6,2.99,1,5
0060-FUALY,0,feminino,0,1,0,59,1,1,fibra óptica,1,1,0,0,1,0,mensal,1,débito online,94.75,5597.65,3.16,1,6
0064-SUDOG,0,feminino,0,1,1,12,1,0,não,0,0,0,0,0,0,bienal,0,transferência (automática),20.3,224.5,0.68,1,2
0064-YIJGF,0,masculino,0,1,1,27,1,1,fibra óptica,0,0,0,0,0,0,mensal,1,transferência (automática),75.75,1929.0,2.52,1,3
0067-DKWBL,1,masculino,1,0,0,2,1,0,dsl,1,0,0,0,0,0,mensal,1,débito online,49.25,91.1,1.64,1,3
0068-FIGTF,0,feminino,0,0,0,27,1,0,dsl,0,1,1,1,1,1,anual,0,boleto,78.2,2078.95,2.61,1,7
0071-NDAFP,0,masculino,0,1,1,25,1,1,não,0,0,0,0,0,0,bienal,0,cartão (automático),25.5,630.6,0.85,1,3
0074-HDKDG,0,masculino,0,1,1,25,1,0,dsl,1,1,1,0,0,0,anual,1,transferência (automática),61.6,1611.0,2.05,1,5
0076-LVEPS,0,masculino,0,0,1,29,0,0,dsl,1,1,1,1,0,0,mensal,1,boleto,45.0,1242.45,1.5,1,5
0078-XZMHT,0,masculino,0,1,0,72,1,1,dsl,0,1,1,1,1,1,bienal,1,transferência (automática),85.15,6316.2,2.84,1,8
0080-EMYVY,0,feminino,0,0,0,14,1,0,dsl,0,1,0,0,0,0,anual,0,cartão (automático),51.45,727.85,1.72,1,3
0080-OROZO,0,feminino,0,0,0,35,1,0,fibra óptica,0,0,1,1,1,1,anual,1,débito online,99.25,3532.0,3.31,1,6
0082-LDZUE,0,masculino,0,0,0,1,1,0,dsl,0,0,0,0,0,0,mensal,1,boleto,44.3,44.3,1.48,1,2
0082-OQIQY,0,masculino,0,0,0,29,1,0,fibra óptica,0,0,0,1,1,1,mensal,1,débito online,94.2,2607.6,3.14,1,5
0083-PIVIK,0,masculino,0,0,0,64,1,1,dsl,1,1,1,1,1,0,anual,0,débito online,81.25,5567.55,2.71,1,8
0089-IIQKO,0,feminino,0,1,1,39,1,1,fibra óptica,0,0,0,1,1,1,mensal,1,cartão (automático),99.95,3767.4,3.33,1,6
0093-EXYQL,0,feminino,1,0,0,40,1,0,fibra óptica,0,0,0,0,1,1,mensal,1,débito online,91.55,3673.6,3.05,1,4
0093-XWZFY,1,masculino,0,0,0,40,1,1,fibra óptica,0,1,1,0,1,1,mensal,1,cartão (automático),104.5,4036.85,3.48,1,7
0094-OIFMO,1,feminino,1,0,0,11,1,0,fibra óptica,0,1,0,0,1,1,mensal,1,débito online,95.0,1120.3,3.17,1,5
0096-BXERS,0,feminino,0,1,0,6,1,1,dsl,0,0,0,0,0,0,mensal,0,débito online,50.35,314.55,1.68,1,3
0096-FCPUF,0,masculino,0,0,0,30,1,1,dsl,1,0,0,0,0,1,mensal,1,boleto,64.5,1888.45,2.15,1,5
0098-BOWSO,0,masculino,0,0,0,27,1,0,não,0,0,0,0,0,0,mensal,1,débito online,19.4,529.8,0.65,1,2
0100-DUVFC,0,masculino,1,1,0,70,1,1,fibra óptica,0,1,1,0,1,1,anual,1,débito online,104.8,7308.95,3.49,1,7
0103-CSITQ,0,feminino,0,1,0,57,1,1,fibra óptica,0,1,1,1,1,1,anual,1,transferência (automática),109.4,6252.7,3.65,1,8
0104-PPXDV,0,masculino,0,1,0,58,1,0,dsl,0,0,1,0,0,0,anual,0,cartão (automático),50.3,2878.55,1.68,1,3
0106-GHRQR,0,masculino,0,0,0,16,1,1,dsl,0,1,1,0,0,1,mensal,1,transferência (automática),71.4,1212.1,2.38,1,6
0106-UGRDO,0,feminino,0,1,0,69,1,1,fibra óptica,1,1,1,1,1,1,bienal,1,débito online,116.0,8182.85,3.87,1,9
0107-WESLM,1,masculino,0,0,0,1,1,0,não,0,0,0,0,0,0,mensal,1,débito online,19.85,19.85,0.66,1,2
0107-YHINA,1,masculino,0,0,1,1,1,1,fibra óptica,0,0,1,0,1,1,mensal,1,débito online,99.75,99.75,3.32,1,6
0111-KLBQG,0,masculino,1,1,1,32,1,0,fibra óptica,0,1,0,0,1,1,mensal,1,boleto,93.95,2861.45,3.13,1,5
0112-QAWRZ,0,masculino,0,1,1,16,1,1,fibra óptica,0,0,1,0,1,0,mensal,1,transferência (automática),90.8,1442.2,3.03,1,5
0112-QWPNC,1,masculino,0,1,0,49,1,1,dsl,1,0,1,1,1,1,anual,0,débito online,84.35,4059.35,2.81,1,8
0114-IGABW,0,feminino,0,1,0,71,0,0,dsl,0,1,1,1,1,1,bienal,0,transferência (automática),58.25,4145.9,1.94,1,6
0114-PEGZZ,0,feminino,0,0,0,33,1,1,fibra óptica,0,1,1,0,1,1,mensal,0,débito online,107.55,3645.5,3.58,1,7
0114-RSRRW,0,feminino,0,1,0,10,1,0,não,0,0,0,0,0,0,mensal,1,transferência (automática),19.95,187.75,0.66,1,2
0115-TFERT,1,masculino,0,1,0,21,1,1,fibra óptica,0,1,1,1,1,1,mensal,1,débito online,111.2,2317.1,3.71,1,8
0117-LFRMW,1,masculino,0,1,1,37,0,0,dsl,1,1,1,0,0,0,mensal,0,transferência (automática),40.2,1448.8,1.34,1,4
0118-JPNOY,0,feminino,1,0,0,26,1,0,fibra óptica,1,0,0,0,1,0,mensal,1,cartão (automático),85.8,2193.65,2.86,1,4
0121-SNYRK,0,masculino,0,0,0,50,0,0,dsl,1,0,0,1,0,0,anual,1,boleto,35.4,1748.9,1.18,1,3
0122-OAHPZ,1,feminino,0,0,0,7,1,1,fibra óptica,0,0,0,0,0,0,mensal,1,débito online,73.85,511.25,2.46,1,3
0123-CRBRT,0,feminino,0,1,1,61,1,1,dsl,1,1,1,1,1,1,bienal,0,boleto,88.1,5526.75,2.94,1,9
0125-LZQXK,1,masculino,0,0,0,15,1,0,fibra óptica,0,0,1,1,1,1,mensal,1,débito online,101.35,1553.95,3.38,1,6
0128-MKWSG,0,feminino,0,0,1,26,0,0,dsl,1,0,0,1,0,1,mensal,0,boleto,45.8,1147.0,1.53,1,4
0129-KPTWJ,0,masculino,0,1,0,72,1,0,fibra óptica,0,0,1,0,1,1,mensal,1,débito online,94.65,6747.35,3.16,1,5
0129-QMPDR,0,masculino,0,1,1,44,1,0,não,0,0,0,0,0,0,anual,1,transferência (automática),20.5,865.05,0.68,1,2
0130-SXOUN,0,masculino,0,0,0,66,1,1,fibra óptica,0,1,0,0,0,1,mensal,0,cartão (automático),89.4,5976.9,2.98,1,5
0133-BMFZO,1,feminino,0,0,0,2,1,0,fibra óptica,1,1,0,1,0,0,mensal,1,débito online,86.25,181.65,2.88,1,5
0134-XWXCE,0,feminino,1,0,0,44,1,0,dsl,0,0,1,1,1,1,anual,0,transferência (automática),74.85,3268.05,2.49,1,6
0135-NMXAP,1,feminino,0,0,0,12,1,1,fibra óptica,0,1,0,0,1,0,mensal,1,transferência (automática),89.75,1052.4,2.99,1,5
0136-IFMYD,0,masculino,1,1,0,69,1,1,fibra óptica,0,1,1,1,1,1,bienal,1,débito online,109.95,7634.25,3.66,1,8
0137-OCGAB,1,feminino,0,0,0,1,1,1,fibra óptica,0,1,0,0,0,0,mensal,1,boleto,80.2,80.2,2.67,1,4
0137-UDEUO,1,feminino,0,0,0,3,1,0,não,0,0,0,0,0,0,mensal,0,boleto,19.85,63.75,0.66,1,2
0139-IVFJG,0,feminino,0,1,0,2,1,0,fibra óptica,1,1,0,0,1,0,mensal,0,débito online,90.35,190.5,3.01,1,5
0141-YEAYS,0,feminino,1,0,0,27,1,1,fibra óptica,0,1,1,0,0,0,mensal,1,transferência (automática),86.45,2401.05,2.88,1,5
0142-GVYSN,0,masculino,0,0,0,26,1,0,não,0,0,0,0,0,0,mensal,1,débito online,20.3,511.25,0.68,1,2
0147-ESWWR,0,feminino,1,1,0,39,1,1,fibra óptica,0,0,0,1,1,1,mensal,1,débito online,101.25,3949.15,3.38,1,6
0148-DCDOS,1,masculino,0,0,0,25,1,1,fibra óptica,0,0,0,0,1,1,mensal,1,transferência (automática),94.7,2362.1,3.16,1,5
0151-ONTOV,1,feminino,0,0,0,1,1,0,fibra óptica,0,0,0,0,0,0,mensal,0,boleto,70.9,70.9,2.36,1,2
0156-FVPTA,1,masculino,0,1,0,22,1,0,dsl,1,0,0,1,0,0,mensal,1,débito online,54.2,1152.7,1.81,1,4
0164-APGRB,0,feminino,0,0,0,72,1,1,fibra óptica,1,1,1,1,1,1,bienal,1,débito online,114.9,8496.7,3.83,1,9
0164-XAIRP,0,feminino,0,0,0,24,1,0,não,0,0,0,0,0,0,bienal,1,transferência (automática),19.55,470.2,0.65,1,2
0168-XZKBB,0,feminino,0,1,0,19,1,1,fibra óptica,0,0,0,0,1,0,mensal,1,débito online,86.85,1564.4,2.9,1,4
0174-QRVVY,0,masculino,0,1,1,71,1,1,não,0,0,0,0,0,0,bienal,0,cartão (automático),25.35,1847.55,0.85,1,3
0177-PXBAT,0,masculino,1,1,0,33,1,1,fibra óptica,1,0,1,1,1,1,mensal,1,transferência (automática),109.9,3694.7,3.66,1,8
0178-CIIKR,0,feminino,0,0,0,3,1,0,não,0,0,0,0,0,0,mensal,0,boleto,19.95,58.0,0.66,1,2
0178-SZBHO,0,masculino,0,1,1,47,1,1,fibra óptica,0,1,0,0,1,0,mensal,0,débito online,87.2,4017.45,2.91,1,5
0181-RITDD,0,masculino,0,1,1,62,1,0,fibra óptica,1,1,1,1,1,1,bienal,0,boleto,108.15,6825.65,3.6,1,8
0186-CAERR,0,masculino,0,0,0,71,1,1,fibra óptica,1,1,1,1,1,1,anual,1,transferência (automática),116.3,8309.55,3.88,1,9
0187-QSXOE,0,masculino,1,1,0,7,1,0,fibra óptica,0,0,0,0,1,1,mensal,1,débito online,89.0,605.45,2.97,1,4
0187-WZNAB,0,feminino,0,1,1,27,1,0,fibra óptica,1,0,0,0,0,0,mensal,0,boleto,74.4,1972.35,2.48,1,3
0188-GWFLE,0,masculino,0,0,0,2,1,0,não,0,0,0,0,0,0,mensal,0,boleto,20.05,33.7,0.67,1,2
0191-EQUUH,0,feminino,0,0,1,25,0,0,dsl,1,0,0,1,0,0,bienal,0,transferência (automática),35.05,844.45,1.17,1,3
0191-ZHSKZ,0,masculino,1,0,0,30,1,0,dsl,1,1,0,0,1,1,mensal,1,débito online,74.75,2111.3,2.49,1,6
0193-ESZXP,1,feminino,1,1,0,58,1,0,fibra óptica,1,1,0,1,1,1,anual,1,cartão (automático),105.5,6205.5,3.52,1,7
0195-IESCP,1,masculino,0,1,0,10,1,1,fibra óptica,0,0,0,0,0,1,mensal,1,débito online,85.25,855.3,2.84,1,4
0196-JTUQI,0,feminino,0,0,0,9,1,1,fibra óptica,0,0,0,0,0,0,mensal,1,cartão (automático),75.2,633.85,2.51,1,3
0196-VULGZ,1,feminino,1,1,0,6,1,1,fibra óptica,0,0,0,0,0,1,mensal,1,débito online,84.35,474.9,2.81,1,4
0197-PNKNK,0,feminino,0,1,1,69,1,1,fibra óptica,1,0,1,0,0,0,anual,0,transferência (automática),84.45,5848.6,2.82,1,5
0201-MIBOL,0,feminino,1,0,0,66,1,1,fibra óptica,1,0,0,0,1,1,bienal,1,transferência (automática),102.4,6471.85,3.41,1,6
0201-OAMXR,1,feminino,0,0,0,70,1,1,fibra óptica,1,1,1,1,1,1,anual,0,cartão (automático),115.55,8127.6,3.85,1,9
0203-HHYIJ,1,masculino,0,0,0,25,1,1,não,0,0,0,0,0,0,anual,0,transferência (automática),25.3,676.35,0.84,1,3
0206-OYVOC,0,feminino,0,1,1,46,1,0,não,0,0,0,0,0,0,bienal,1,boleto,19.25,864.2,0.64,1,2
0206-TBWLC,0,feminino,0,1,0,54,1,1,fibra óptica,1,1,1,1,1,1,anual,1,boleto,114.65,6049.5,3.82,1,9
0207-MDKNV,1,feminino,0,0,0,15,1,0,fibra óptica,1,0,1,1,1,1,mensal,0,débito online,105.1,1582.75,3.5,1,7
0208-BPQEJ,0,feminino,0,1,1,12,1,0,não,0,0,0,0,0,0,mensal,0,transferência (automática),19.4,198.1,0.65,1,2
0212-ISBBF,0,feminino,0,0,0,22,0,0,dsl,0,1,0,0,1,1,mensal,1,débito online,50.35,1098.85,1.68,1,4
0214-JHPFW,0,feminino,0,1,0,70,0,0,dsl,0,1,1,1,1,1,bienal,0,transferência (automática),57.8,4039.3,1.93,1,6
0215-BQKGS,0,masculino,0,0,0,30,1,0,fibra óptica,1,1,1,0,0,0,mensal,1,cartão (automático),84.3,2438.6,2.81,1,5
0218-QNVAS,0,masculino,0,1,1,71,1,1,fibra óptica,0,1,0,0,1,1,anual,0,transferência (automática),100.55,7113.75,3.35,1,6
0219-QAERP,0,masculino,0,1,0,30,1,0,não,0,0,0,0,0,0,anual,0,cartão (automático),19.8,576.65,0.66,1,2
0219-YTZUE,1,masculino,0,1,1,4,1,1,fibra óptica,0,1,1,0,0,0,mensal,1,transferência (automática),84.8,371.9,2.83,1,5
0220-EBGCE,1,masculino,0,0,0,2,1,0,fibra óptica,0,0,1,0,0,1,mensal,1,débito online,85.85,167.3,2.86,1,4
0221-NAUXK,0,masculino,0,0,1,10,1,0,não,0,0,0,0,0,0,anual,1,transferência (automática),19.95,219.5,0.66,1,2
0221-WMXNQ,0,masculino,1,0,0,4,1,0,fibra óptica,1,0,0,0,0,0,mensal,0,débito online,75.35,273.4,2.51,1,3
0222-CNVPT,0,masculino,1,0,0,52,0,0,dsl,1,0,0,0,1,1,mensal,1,cartão (automático),48.8,2555.05,1.63,1,4
0224-HJAPT,1,masculino,0,0,0,5,1,1,dsl,0,0,0,0,0,0,mensal,0,débito online,47.15,223.15,1.57,1,3
0224-NIJLP,0,masculino,0,1,1,8,1,0,não,0,0,0,0,0,0,bienal,0,boleto,20.15,165.5,0.67,1,2
0224-RLWWD,0,feminino,1,0,0,2,1,0,dsl,0,0,0,0,0,0,mensal,1,débito online,44.3,89.3,1.48,1,2
0225-ZORZP,0,masculino,0,0,0,3,1,0,fibra óptica,0,1,0,0,0,1,mensal,0,débito online,84.3,235.05,2.81,1,4
0228-MAUWC,0,masculino,0,0,0,19,1,1,dsl,0,0,1,1,0,0,mensal,0,débito online,59.55,1144.6,1.98,1,5
0229-LFJAF,0,masculino,0,0,0,72,1,1,dsl,1,1,1,1,0,0,bienal,0,transferência (automática),69.65,4908.25,2.32,1,7
0230-UBYPQ,0,masculino,1,1,0,63,0,0,dsl,1,0,0,1,0,0,anual,0,transferência (automática),36.1,2298.9,1.2,1,3
0230-WEQUW,0,masculino,0,1,0,66,0,0,dsl,1,1,1,1,1,0,bienal,1,transferência (automática),56.6,3789.2,1.89,1,6
0231-LXVAP,1,masculino,0,0,0,1,1,0,fibra óptica,0,0,0,1,0,0,mensal,1,débito online,75.9,75.9,2.53,1,3
0233-FTHAV,0,feminino,0,0,0,60,1,1,fibra óptica,0,0,1,0,0,0,anual,1,transferência (automática),79.2,4765.0,2.64,1,4
0234-TEVTT,0,feminino,0,1,1,48,0,0,dsl,1,0,1,0,0,1,anual,0,cartão (automático),45.0,2196.3,1.5,1,4
0235-KGSLC,1,feminino,0,0,0,1,1,0,fibra óptica,0,0,1,0,1,0,mensal,1,cartão (automático),85.55,85.55,2.85,1,4
0236-HFWSV,1,masculino,0,0,0,15,1,1,fibra óptica,0,0,0,0,1,1,mensal,1,débito online,93.35,1444.65,3.11,1,5
0237-YFUTL,0,feminino,0,1,0,50,1,1,fibra óptica,1,1,0,1,1,1,mensal,1,transferência (automática),109.65,5405.8,3.66,1,8
0238-WHBIQ,0,masculino,0,1,1,72,1,1,dsl,1,1,1,1,1,1,bienal,0,cartão (automático),89.7,6339.3,2.99,1,9
0239-OXEXL,0,feminino,0,0,0,46,1,1,fibra óptica,1,1,0,0,0,0,mensal,0,boleto,84.25,3847.6,2.81,1,5
0244-LGNFY,0,feminino,0,1,1,72,1,1,dsl,1,1,1,1,1,1,bienal,0,transferência (automática),92.65,6733.0,3.09,1,9
0247-SLUJI,0,masculino,0,1,1,1,1,0,não,0,0,0,0,0,0,mensal,0,boleto,19.7,19.7,0.66,1,2
0248-IPDFW,0,feminino,0,0,0,1,1,1,dsl,0,0,0,0,0,0,mensal,1,débito online,50.1,50.1,1.67,1,3
0248-PGHBZ,0,feminino,1,0,0,67,1,0,fibra óptica,1,1,0,1,1,0,bienal,1,transferência (automática),92.45,6140.85,3.08,1,6
0253-ZTEOB,0,feminino,0,1,1,48,1,1,dsl,0,1,0,1,1,1,bienal,0,débito online,79.65,3870.3,2.66,1,7
0254-FNMCI,0,feminino,0,0,0,72,1,0,fibra óptica,1,1,1,1,1,1,bienal,1,débito online,109.9,7624.2,3.66,1,8
0254-KCJGT,0,masculino,0,1,0,52,1,1,dsl,1,1,1,1,0,1,anual,1,cartão (automático),81.4,4354.45,2.71,1,8
0254-WWRKD,0,feminino,0,1,1,67,1,0,dsl,0,1,0,0,0,0,anual,0,cartão (automático),50.55,3431.75,1.68,1,3
0256-LTHVJ,1,feminino,0,1,1,28,1,0,fibra óptica,0,0,0,0,0,1,mensal,1,débito online,81.05,2227.1,2.7,1,3
0257-KXZGU,0,feminino,0,1,1,32,1,1,dsl,0,1,1,0,0,0,mensal,0,transferência (automática),62.45,2045.55,2.08,1,5
0257-ZESQC,1,feminino,1,1,0,27,1,0,fibra óptica,1,0,0,0,0,0,mensal,1,transferência (automática),75.2,1929.35,2.51,1,3
0258-NOKBL,0,masculino,0,0,0,3,1,0,fibra óptica,0,1,1,0,0,1,mensal,0,débito online,90.4,268.45,3.01,1,5
0259-GBZSH,1,masculino,0,0,0,2,1,1,fibra óptica,0,0,0,0,1,0,mensal,1,débito online,85.65,181.5,2.86,1,4
0260-ZDLGK,1,feminino,0,0,1,9,1,0,dsl,0,0,1,1,1,1,mensal,1,boleto,72.9,651.4,2.43,1,6
0263-FJTQO,0,masculino,0,1,1,50,1,1,dsl,1,0,0,1,1,0,bienal,1,cartão (automático),70.5,3486.65,2.35,1,6
0264-CNITK,0,feminino,0,1,1,71,1,0,não,0,0,0,0,0,0,bienal,0,transferência (automática),20.1,1389.6,0.67,1,2
0265-EDXBD,1,masculino,1,1,0,32,1,1,fibra óptica,0,0,0,0,0,0,mensal,1,débito online,74.9,2303.35,2.5,1,3
0265-PSUAE,0,feminino,0,1,1,16,1,0,fibra óptica,1,0,1,0,1,1,mensal,0,transferência (automática),100.7,1522.7,3.36,1,6
0266-CLZKZ,0,feminino,0,1,1,67,1,1,fibra óptica,0,0,1,1,1,1,bienal,1,transferência (automática),105.65,6717.9,3.52,1,7
0266-GMEAO,0,masculino,0,1,1,72,1,1,fibra óptica,1,1,1,1,1,1,bienal,1,cartão (automático),114.3,8058.55,3.81,1,9
0268-QKIWO,1,feminino,0,0,0,3,1,0,não,0,0,0,0,0,0,mensal,0,débito online,19.75,58.85,0.66,1,2
0269-XFESX,0,masculino,0,1,1,23,1,1,não,0,0,0,0,0,0,anual,0,boleto,24.35,538.5,0.81,1,3
0270-THENM,0,masculino,0,1,1,72,1,1,dsl,1,1,1,1,0,0,bienal,0,transferência (automática),69.85,5102.35,2.33,1,7
0274-JKUJR,0,masculino,0,1,1,7,0,0,dsl,1,1,1,0,1,1,mensal,0,boleto,58.85,465.7,1.96,1,6
0277-BKSQP,0,masculino,0,1,1,8,1,0,dsl,0,0,0,0,1,0,mensal,1,débito online,54.4,475.1,1.81,1,3
0277-ORXQS,0,masculino,0,1,1,66,0,0,dsl,0,0,0,1,1,1,bienal,0,transferência (automática),50.55,3364.55,1.68,1,4
0278-YXOOG,1,masculino,0,0,0,5,1,0,não,0,0,0,0,0,0,mensal,0,boleto,21.05,113.85,0.7,1,2
0280-XJGEX,1,masculino,0,0,0,49,1,1,fibra óptica,0,1,1,0,1,1,mensal,1,transferência (automática),103.7,5036.3,3.46,1,7
0281-CNTZX,0,masculino,0,1,0,63,1,0,não,0,0,0,0,0,0,bienal,1,transferência (automática),19.95,1234.8,0.66,1,2
0282-NVSJS,0,feminino,1,1,1,12,0,0,dsl,0,0,0,1,0,0,mensal,1,boleto,29.3,355.9,0.98,1,2
0285-INHLN,0,masculino,0,1,1,27,1,0,dsl,1,1,0,0,0,0,mensal,1,cartão (automático),54.75,1510.3,1.82,1,4
0289-IVARM,0,feminino,0,0,0,35,1,0,dsl,1,1,1,0,0,0,mensal,0,débito online,60.55,1982.6,2.02,1,5
0292-WEGCH,0,feminino,0,1,1,54,1,1,dsl,0,1,1,1,1,1,mensal,1,débito online,86.2,4524.05,2.87,1,8
0295-PPHDO,1,masculino,0,0,0,1,1,1,fibra óptica,0,0,0,0,1,1,mensal,1,débito online,95.45,95.45,3.18,1,5
0295-QVKPB,0,masculino,0,0,0,5,1,0,dsl,0,0,1,1,1,0,mensal,1,cartão (automático),63.95,318.1,2.13,1,5
0297-RBCSG,0,masculino,0,0,0,19,1,0,dsl,0,1,0,1,0,1,anual,1,transferência (automática),65.35,1231.85,2.18,1,5
0298-XACET,0,masculino,0,1,1,52,0,0,dsl,0,1,1,1,1,0,bienal,0,boleto,50.2,2554.0,1.67,1,5
0301-FIDRB,0,feminino,0,1,1,72,0,0,dsl,1,1,1,1,1,1,bienal,1,transferência (automática),63.8,4684.3,2.13,1,7
0301-KOBTQ,0,masculino,0,0,0,32,1,0,não,0,0,0,0,0,0,bienal,1,transferência (automática),20.05,614.45,0.67,1,2
0302-JOIVN,1,feminino,0,1,0,8,1,0,fibra óptica,0,1,1,0,1,1,mensal,0,débito online,101.15,842.9,3.37,1,6
0303-UNCIP,0,masculino,0,0,0,41,1,1,dsl,0,0,1,0,0,1,anual,0,boleto,65.0,2531.8,2.17,1,5
0303-WMMRN,0,masculino,0,0,0,5,1,0,não,0,0,0,0,0,0,mensal,1,boleto,19.25,86.05,0.64,1,2
0305-SQECB,0,feminino,0,0,1,11,0,0,dsl,1,0,0,1,0,0,anual,1,boleto,36.05,402.6,1.2,1,3
